-310,-14
-306,-16
-310,-9
-309,-5
-310,-1
-314,1
-315,6
-320,1
-325,1
-327,1
-333,1
-336,0
-337,5
-342,5
-347,4
-352,5
-355,4
-357,4
-363,4
-367,3
-370,6
-370,2
-372,1
-370,-2
-371,1
-373,3
-373,9
-373,15
-373,19
-369,19
-369,25
-370,29
-365,29
-376,29
-380,30
-384,32
-386,36
-388,36
-388,42
-393,43
-395,47
-396,51
-396,57
-399,59
-403,60
-407,62
-408,65
-412,64
-412,65
-412,70
-418,70
-422,72
-422,78
-419,78
-428,78
-434,78
-439,79
-445,79
-438,83
-440,87
-441,92
-442,97
-445,97
-450,96
-455,95
-456,90
-458,90
-461,92
-466,93
-468,97
-468,91
-469,93
-474,91
-478,93
-480,94
-483,97
-484,101
-479,100
-475,102
-469,102
-465,103
-463,104
-463,107
-464,111
-460,111
-468,113
-468,119
-469,121
-468,125
-471,128
-473,131
-477,130
-478,130
-481,132
-481,126
-485,124
-488,121
-484,123
-485,128
-479,128
-473,128
-468,129
-463,128
-457,128
-453,127
-453,132
-451,136
-447,135
-455,138
-457,140
-458,143
-453,143
-449,141
-450,142
-448,145
-446,147
-443,148
-440,149
-438,145
-438,141
-435,147
-429,147
-431,143
-425,148
-425,145
-425,141
-422,146
-419,143
-417,140
-416,135
-412,134
-415,136
-415,131
-417,131
-422,131
-415,129
-415,125
-416,120
-420,121
-422,119
-422,114
-423,110
-424,108
-424,103
-421,111
-419,112
-415,111
-413,107
-412,109
-408,109
-409,105
-408,100
-404,99
-406,101
-406,106
-407,108
-410,111
-409,114
-408,119
-409,122
-408,127
-406,130
-401,129
-398,131
-398,125
-398,119
-394,126
-394,122
-394,117
-390,116
-385,117
-382,118
-381,119
-376,118
-371,118
-366,117
-365,112
-365,110
-363,107
-363,102
-363,99
-357,102
-351,102
-348,104
-347,102
-343,103
-339,102
-337,99
-336,95
-332,94
-329,92
-323,92
-322,90
-316,90
-311,89
-306,89
-305,84
-305,80
-299,80
-298,82
-293,81
-294,81
-294,76
-295,73
-296,70
-297,65
-296,61
-294,59
-290,57
-294,56
-298,54
-301,51
-304,48
-310,48
-309,43
-313,44
-311,39
-314,37
-314,32
-317,29
-318,26
-314,25
-312,21
-308,19
-308,14
-311,13
-307,9
-305,5
-302,2
-300,1
-295,2
-302,1
-304,-3
-304,-9
-305,-14
