-310	-14
-306	-16
-312	-10
-310	-9
-309	-5
-310	-1
-309	3
-305	5
-313	5
-315	6
-317	3
-320	1
-324	1
-327	1
-331	1
-333	1
-336	0
-340	1
-344	1
-348	3
-352	5
-355	4
-359	2
-363	4
-367	3
-367	0
-370	-2
-372	1
-371	1
-370	2
-370	6
-368	10
-369	14
-373	15
-373	19
-369	19
-369	23
-369	27
-365	29
-370	29
-373	30
-376	32
-380	30
-384	28
-384	32
-386	36
-388	36
-391	39
-393	43
-395	47
-396	51
-396	55
-397	57
-399	59
-403	61
-407	62
-409	66
-412	64
-412	65
-414	69
-418	71
-422	72
-424	76
-426	80
-430	79
-434	81
-438	83
-441	81
-445	79
-443	85
-445	87
-445	91
-446	95
-442	97
-450	96
-454	94
-456	90
-458	90
-461	92
-465	94
-468	91
-468	97
-469	93
-470	91
-474	91
-478	93
-480	94
-483	97
-484	101
-482	100
-478	102
-474	100
-470	102
-469	102
-465	103
-463	107
-464	111
-460	111
-468	113
-469	117
-469	121
-468	125
-468	129
-464	131
-460	133
-457	136
-457	140
-453	140
-451	136
-447	135
-451	140
-449	141
-450	142
-453	143
-448	145
-446	147
-443	148
-440	149
-438	145
-438	141
-435	147
-431	145
-431	143
-428	148
-425	148
-423	145
-425	141
-419	143
-417	140
-415	137
-412	134
-415	136
-417	132
-415	129
-414	125
-416	121
-416	120
-418	116
-422	114
-423	110
-425	106
-424	103
-424	108
-421	111
-419	112
-415	111
-413	107
-412	109
-408	109
-409	105
-410	111
-408	115
-408	119
-409	122
-407	126
-406	130
-402	130
-398	131
-398	128
-394	126
-395	122
-398	119
-394	117
-390	116
-389	116
-385	117
-381	119
-382	118
-377	117
-373	115
-369	113
-365	112
-363	109
-363	107
-359	107
-355	105
-351	107
-348	104
-347	102
-343	103
-339	102
-337	99
-333	97
-332	95
-329	92
-325	90
-322	90
-320	87
-316	86
-312	88
-310	87
-310	88
-306	89
-308	83
-305	80
-301	81
-297	81
-294	81
-293	81
-296	77
-292	77
-293	73
-295	69
-297	65
-296	61
-292	59
-290	57
-294	55
-294	56
-298	54
-302	52
-306	50
-310	48
-310	44
-313	44
-316	46
-309	43
-311	39
-314	37
-315	33
-317	29
-318	26
-314	25
-312	21
-311	17
-311	13
-309	9
-307	5
-309	1
-310	-3
-309	-7
-309	-10
